Table 1
Dates,Camp # '25,Arena Name,Camp Cost 25,City / Town / State,Camp Description,Times,Ages,
8/4/2025 - 8/7/2025,114-25,Pirelli Veterans Arena (M-TH),$550.00 ,"Franklin, MA",Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
8/4/2025 - 8/7/2025,115-25,Pirelli Veterans Arena (M-TH),$425.00 ,"Franklin, MA",Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
8/4/2025 - 8/8/2025,116-25,Tim Hortons IcePlex,$550.00 ,Rochester NY,Skating/Edge/Stickhandling,9:00am - 11:50pm,7 - 15 yrs,
8/4/2025 - 8/8/2025,117-25,Tim Hortons IcePlex,$450.00 ,Rochester NY,Skating/Edge/Stickhandling,9:00am - 3:00PM,7 - 15 yrs,
,,,,,,,,
,,,,,,,,
8/11/2025 - 8/14/2025,118-25,New England Sports Center (M-TH),$550.00 ,Marlboro MA,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
8/11/2025 - 8/14/2025,119-25,New England Sports Center (M-TH),$425.00 ,Marlboro MA,Skating/Edge/Stickhandling,9:00am - 11:50pm,7 - 15 yrs,
8/11/2025 - 8/15/2025,120-25,Valley Sports Ice Arena Rink 1,$650.00 ,"Concord, MA",Total Skills Development,8:45am - 3:10pm,10 - 15 yrs,
8/11/2025 - 8/15/2025,121-25,Valley Sports Ice Arena Rink 1,$475.00 ,"Concord, MA",Total Skills Development 1/2 day,8:45am - 11:35pm,10 - 15 yrs,
8/11/2025 - 8/15/2025,122-25,Valley Sports Ice Arena Rink 2,$650.00 ,"Concord, MA",Total Skills Development,9:00am - 3:30pm,6 - 9 yrs,
8/11/2025 - 8/15/2025,123-25,Valley Sports Ice Arena Rink 2,$475.00 ,"Concord, MA",Total Skills Development 1/2 day,9:00am - 11:50am,6 - 9 yrs,
8/11/2025 - 8/15/2025,124-25,Ed Burns Arena,$450.00 ,"Arlington, MA",Skating/Edge/Stickhandling,9:00am - 11:50am,5 - 12 yrs,
8/11/2025 - 8/15/2025,125-25,Ed Burns Arena,$450.00 ,"Arlington, MA",Skating/Edge/Stickhandling,1:00pm - 3:50pm,5 - 12 yrs,
8/11/2025 - 8/15/2025,126-25,South Windsor Ice Arena,$650.00 ,South Windsor CT,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
8/11/2025 - 8/15/2025,127-25,South Windsor Ice Arena,$525.00 ,South Windsor CT,Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,Sold Out
8/11/2025 - 8/14/2025,128-25,NESV (M-TH),$585.00 ,"Attleboro, MA",Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
8/11/2025 - 8/14/2025,129-25,NESV (M-TH),$450.00 ,"Attleboro, MA",Skating/Edge/Stickhandling,9:00am - 11:50am,7 - 15 yrs,
8/11/2025 - 8/15/2025,130-25,Essex Sports Center,$425.00 ,"Middleton, MA",Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
8/11/2025 - 8/15/2025,131-25,Raymond Bourque Arena,$650.00 ,Beverly MA,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,Sold Out
8/11/2025 - 8/15/2025,132-25,Raymond Bourque Arena,$475.00 ,Beverly MA,Total Skills Development,9:00am - 11:50am,7 - 15 yrs,Sold Out
8/11/2025 - 8/15/2025,133-25,Three Rivers Athletic Complex,$585.00 ,"Baldwinsville, NY",Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
8/11/2025 - 8/15/2025,134-25,Three Rivers Athletic Complex,$475.00 ,"Baldwinsville, NY",Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
,,,,,,,,
,,,,,,,,
8/18/2025 - 8/22/2025,135-25,Valley Sports Ice Arena Rink 1,$650.00 ,"Concord, MA",Skating/Edge/Stickhandling,8:45am - 3:10pm,10 - 15 yrs,
8/18/2025 - 8/22/2025,136-25,Valley Sports Ice Arena Rink 1,$475.00 ,"Concord, MA",Skating/Edge/Stickhandling 1/2 day am,8:45am - 11:35pm,10 - 15 yrs,
8/18/2025 - 8/22/2025,137-25,Valley Sports Ice Arena Rink 2,$650.00 ,"Concord, MA",Total Skills Development,9:00am - 3:30pm,6 - 9 yrs,
8/18/2025 - 8/22/2025,138-25,Valley Sports Ice Arena Rink 2,$475.00 ,"Concord, MA",Total Skills Development 1/2 day,9:00am - 11:50am,6 - 9 yrs,
8/18/2025 - 8/21/2025,139-25,New England Sports Center (M-TH),$550.00 ,Marlboro MA,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
8/18/2025 - 8/21/2025,140-25,New England Sports Center (M-TH),$425.00 ,Marlboro MA,Skating/Edge/Stickhandling,9:00am - 11:50pm,7 - 15 yrs,Sold Out
